sample	records	primary_kept	kept_frac	primary_kept_read2	primary_disc_mapq	primary_disc_sclip	unmapped	secondary	supplementary
01b_01	110765	88342	0.798	43771	3504	14106	1582	0	3231
01b_02	3644971	2950000	0.809	1472681	143912	419980	37452	0	93627
01b_03	1624728	1335116	0.822	663601	50473	174107	14586	0	50446
01b_04	28956	22043	0.761	10926	1161	4007	595	0	1150
01b_05	2186608	1772456	0.811	884655	70620	253306	23252	0	66974
01b_06	5517571	4909638	0.890	2443130	97697	357077	19736	0	133423
01b_07	105876	93737	0.885	46382	2541	6793	675	0	2130
01b_08	1687801	1379106	0.817	687658	53201	194245	14062	0	47187
01b_09	731712	655966	0.896	326196	11335	44474	3357	0	16580
01b_10	4089624	3697797	0.904	1838076	66335	233334	13156	0	79002
01b_11	96317	85008	0.883	41825	1447	6393	828	0	2641
01b_12	4049689	3626308	0.895	1802414	59966	264882	17390	0	81143
01b_13	240499	211728	0.880	104922	4457	15549	1024	0	7741
01b_14	2320061	2122600	0.915	1058125	39668	118022	7354	0	32417
01b_15	77903	68636	0.881	33964	1440	4980	676	0	2171
01b_16	3779469	3365881	0.891	1674990	76291	242643	14335	0	80319
01b_17	888862	798971	0.899	395120	13168	54050	4233	0	18440
01b_18	663919	591462	0.891	293257	9143	43435	2334	0	17545
01b_19	3594359	3238300	0.901	1609422	64110	208737	10635	0	72577
01b_20	2439351	2174858	0.892	1079853	41898	157531	11013	0	54051
01b_21	154722	136297	0.881	67698	2921	10324	1212	0	3968
01b_22	1162706	1041051	0.895	517923	21860	74992	3061	0	21742
01b_23	776174	693834	0.894	343709	12506	48027	2675	0	19132
01b_24	1414603	1250367	0.884	621350	30333	96988	4450	0	32465
01b_25	4276848	3891047	0.910	1936444	68755	235980	24228	0	56838
01b_26	233767	209465	0.896	103879	4301	14278	656	0	5067
01b_27	2226482	1987811	0.893	986645	37942	140148	10977	0	49604
01b_28	1942898	1735736	0.893	862706	34853	123832	6207	0	42270
01b_29	11700046	10545719	0.901	5246506	191088	685867	41088	0	236284
01b_30	1358159	1219730	0.898	605899	22350	79368	4598	0	32113
01b_31	1369179	1220696	0.892	607576	25990	85453	4799	0	32241
01b_32	3634414	3284720	0.904	1633535	65028	211511	11583	0	61572
01b_33	4473234	4032180	0.901	2001964	77362	264171	18263	0	81258
01b_34	278508	247117	0.887	123044	6378	16627	840	0	7546
01b_35	270124	240903	0.892	119719	5761	16626	1528	0	5306
01b_36	5196688	4659006	0.897	2323033	94007	331896	17653	0	94126
01b_37	84893	73767	0.869	36495	2197	7087	459	0	1383
01b_38	27944	24811	0.888	12263	532	1902	63	0	636
01b_39	2515968	2234359	0.888	1109540	38202	167635	17134	0	58638
01b_40	2392597	2135802	0.893	1062119	39283	156289	11278	0	49945
