sample_prefix	LIBRARY
01b_01	Library2
01b_02	Library2
01b_03	Library2
01b_04	Library2
01b_05	Library2
01b_06	Library2
01b_07	Library2
01b_08	Library2
01b_09	Library2
01b_10	Library2
01b_11	Library2
01b_12	Library2
01b_13	Library2
01b_14	Library2
01b_15	Library2
01b_16	Library2
01b_17	Library2
01b_18	Library2
01b_19	Library2
01b_20	Library2
01b_21	Library2
01b_22	Library2
01b_23	Library2
01b_24	Library2
01b_25	Library2
01b_26	Library2
01b_27	Library2
01b_28	Library2
01b_29	Library2
01b_30	Library2
01b_31	Library2
01b_32	Library2
01b_33	Library2
01b_34	Library2
01b_35	Library2
01b_36	Library2
01b_37	Library2
01b_38	Library2
01b_39	Library2
01b_40	Library2
01b_41	Library2
01b_42	Library2
01b_43	Library2
01b_44	Library2
01b_45	Library2
01b_46	Library2
01b_47	Library2
01b_48	Library2
04b_01	Library4
04b_03	Library4
04b_05	Library4
04b_07	Library4
04b_11	Library4
04b_15	Library4
04b_16	Library4
04b_20	Library4
04b_23	Library4
04b_47	Library4
04b_48	Library4
04b_49	Library4
04b_50	Library4
05abc_01	Library4
05abc_02	Library4
05abc_04	Library4
05abc_05	Library4
05abc_06	Library4
05abc_07	Library4
05abc_08	Library4
05abc_09	Library4
05abc_10	Library4
05abc_11	Library4
05abc_12	Library4
05abc_13	Library4
05abc_14	Library4
05abc_15	Library4
05abc_16	Library4
05abc_17	Library4
05abc_18	Library4
05abc_19	Library4
05abc_20	Library4
05abc_21	Library4
05abc_23	Library4
05abc_24	Library4
05abc_25	Library4
05abc_26	Library4
05abc_27	Library4
05abc_29	Library4
05abc_30	Library4
05abc_31	Library4
05abc_32	Library4
05abc_33	Library4
05abc_34	Library4
05abc_35	Library4
05abc_36	Library4
05abc_37	Library4
05abc_38	Library4
05abc_39	Library4
05abc_40	Library4
05abc_41	Library4
05abc_42	Library4
05abc_43	Library4
05abc_44	Library4
05abc_45	Library4
05abc_46	Library4
05abc_47	Library4
05abc_48	Library4
05abc_49	Library4
05abc_50	Library4
06a_01	Library2
06a_02	Library2
06a_03	Library2
06a_04	Library2
06a_05	Library2
06a_06	Library2
06a_07	Library2
06a_08	Library2
06a_09	Library2
06a_10	Library2
06a_11	Library2
06a_12	Library2
06a_13	Library2
06a_14	Library2
06a_15	Library2
06a_16	Library2
06a_17	Library2
06a_18	Library2
06a_19	Library2
06a_20	Library2
06a_21	Library2
06a_22	Library2
06a_23	Library2
06a_24	Library2
06a_26	Library2
06a_27	Library2
06a_28	Library2
06a_29	Library2
06a_30	Library2
06a_31	Library2
06a_33	Library2
06a_34	Library2
06a_35	Library2
06a_36	Library2
06a_37	Library2
06a_38	Library2
06a_39	Library2
06a_40	Library2
06a_41	Library2
06a_42	Library2
06a_43	Library2
06a_44	Library2
06a_45	Library2
06a_46	Library2
06a_47	Library2
06a_48	Library2
06a_49	Library2
06a_50	Library2
06c_01	Library1
06c_02	Library1
06c_03	Library1
06c_04	Library1
06c_05	Library1
06c_06	Library1
06c_07	Library1
06c_08	Library1
06c_09	Library1
06c_10	Library1
06c_100	Library4
06c_11	Library1
06c_12	Library1
06c_13	Library1
06c_14	Library1
06c_15	Library1
06c_16	Library1
06c_17	Library1
06c_18	Library1
06c_19	Library1
06c_20	Library1
06c_21	Library1
06c_22	Library1
06c_23	Library1
06c_24	Library1
06c_25	Library1
06c_29	Library1
06c_30	Library1
06c_31	Library1
06c_32	Library1
06c_33	Library1
06c_34	Library1
06c_35	Library1
06c_37	Library1
06c_38	Library1
06c_39	Library1
06c_40	Library1
06c_41	Library1
06c_42	Library1
06c_43	Library1
06c_44	Library1
06c_45	Library1
06c_46	Library1
06c_47	Library1
06c_48	Library1
06c_49	Library1
06c_50	Library1
06c_51	Library3
06c_52	Library3
06c_53	Library3
06c_54	Library3
06c_55	Library3
06c_56	Library3
06c_57	Library3
06c_58	Library3
06c_59	Library3
06c_60	Library3
06c_61	Library3
06c_62	Library3
06c_63	Library3
06c_65	Library3
06c_66	Library3
06c_68	Library3
06c_69	Library3
06c_70	Library3
06c_71	Library3
