sample_prefix	pop
06a_01	06a
06a_02	06a
06a_06	06a
06a_08	06a
06a_10	06a
06a_12	06a
06a_13	06a
06a_14	06a
06a_16	06a
06a_20	06a
06a_21	06a
06a_22	06a
06a_26	06a
06a_27	06a
06a_30	06a
06a_34	06a
06a_35	06a
06a_36	06a
06a_41	06a
06a_42	06a
06a_43	06a
06a_45	06a
06a_46	06a
06a_47	06a
06a_48	06a
06a_50	06a
07a_03	07a
07a_07	07a
07a_09	07a
07a_12	07a
07a_16	07a
07a_21	07a
07a_22	07a
07a_23	07a
07a_25	07a
07a_26	07a
07a_27	07a
07a_28	07a
07a_33	07a
07a_34	07a
07a_35	07a
07a_38	07a
07a_41	07a
07a_43	07a
07a_44	07a
07a_45	07a
07a_46	07a
07a_49	07a
10a_02	10a
10a_03	10a
10a_04	10a
10a_06	10a
10a_08	10a
10a_09	10a
10a_11	10a
10a_12	10a
10a_13	10a
10a_14	10a
10a_20	10a
10a_21	10a
10a_22	10a
10a_25	10a
10a_28	10a
10a_31	10a
10a_33	10a
10a_34	10a
10a_36	10a
10a_37	10a
10a_41	10a
10a_48	10a
14a_06	14a
14a_08	14a
14a_10	14a
14a_11	14a
14a_13	14a
14a_16	14a
14a_18	14a
14a_19	14a
14a_20	14a
14a_22	14a
14a_23	14a
14a_24	14a
14a_25	14a
14a_26	14a
14a_30	14a
14a_31	14a
14a_40	14a
14a_44	14a
14a_45	14a
14a_48	14a
14a_49	14a
14a_50	14a
18b_02	18b
18b_04	18b
18b_06	18b
18b_07	18b
18b_09	18b
18b_10	18b
18b_11	18b
18b_12	18b
18b_13	18b
18b_16	18b
18b_17	18b
18b_18	18b
18b_20	18b
18b_23	18b
18b_24	18b
18b_26	18b
18b_30	18b
18b_31	18b
18b_33	18b
18b_35	18b
18b_37	18b
18b_45	18b
18b_46	18b
18b_47	18b
18b_49	18b
23p_45	23p
23p_46	23p
23p_57	23p
23p_60	23p
23p_62	23p
23p_63	23p
23p_64	23p
23p_65	23p
23p_66	23p
23p_69	23p
23p_70	23p
23p_72	23p
23p_74	23p
23p_77	23p
23p_78	23p
23p_79	23p
23p_84	23p
23p_85	23p
23p_86	23p
23p_87	23p
23p_88	23p
23p_90	23p
23p_94	23p
23p_97	23p
25c_09	25c
25c_10	25c
25c_11	25c
25c_13	25c
25c_22	25c
25c_24	25c
25c_29	25c
25c_30	25c
25c_32	25c
25c_35	25c
25c_45	25c
25c_52	25c
25c_55	25c
25c_57	25c
25c_60	25c
25c_64	25c
25c_65	25c
25c_72	25c
25c_78	25c
25c_81	25c
25c_82	25c
25c_83	25c
25c_84	25c
25c_92	25c
26b_02	26b
26b_03	26b
26b_06	26b
26b_07	26b
26b_08	26b
26b_10	26b
26b_12	26b
26b_16	26b
26b_19	26b
26b_20	26b
26b_23	26b
26b_24	26b
26b_25	26b
26b_27	26b
26b_28	26b
26b_31	26b
26b_32	26b
26b_36	26b
26b_39	26b
26b_43	26b
26b_44	26b
26b_45	26b
26b_47	26b
26b_49	26b
27a_01	27a
27a_02	27a
27a_03	27a
27a_07	27a
27a_09	27a
27a_11	27a
27a_12	27a
27a_13	27a
27a_15	27a
27a_16	27a
27a_17	27a
27a_23	27a
27a_24	27a
27a_25	27a
27a_26	27a
27a_27	27a
27a_28	27a
27a_32	27a
27a_37	27a
27a_38	27a
27a_39	27a
27a_41	27a
27a_44	27a
27a_45	27a
27a_46	27a
27a_47	27a
