code	latitude	longitude	latitude_dec	longitude_dec	GSA	subarea						
06c_Mb_01	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_02	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_03	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_04	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_05	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_06	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_07	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_08	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_09	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_10	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_11	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_12	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_13	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_14	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_15	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_16	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_17	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_18	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_19	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_20	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_21	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_22	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_23	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_24	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_25	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_26	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_27	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_28	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_29	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_30	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_31	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_32	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_33	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_34	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_35	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_36	41.34.201	003.01.542	41.57001667	3.0257	6	c						
06c_Mb_37	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_38	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_39	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_40	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_41	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_42	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_43	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_44	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_45	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_46	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_47	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_48	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_49	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
06c_Mb_50	41.36.301	002.47.252	41.60501667	2.787533333	6	c						
09b_Mb_01	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_02	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_03	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_04	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_05	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_06	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_07	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_08	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_09	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_10	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_11	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_12	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_13	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_14	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_15	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_16	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_17	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_18	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_19	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_20	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_21	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_22	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_23	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_24	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_25	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_26	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_27	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_28	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_29	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_30	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_31	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_32	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_33	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_34	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_35	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_36	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_37	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_38	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_39	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_40	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_41	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_42	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_43	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_44	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_45	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_46	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_47	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_48	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_49	42_61_163	10_99_420	42.6116	10.9942	9	b						
09b_Mb_50	42_61_163	10_99_420	42.6116	10.9942	9	b						
11c_Mb_01	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_02	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_03	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_04	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_05	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_06	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_07	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_08	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_09	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_10	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_11	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_12	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_13	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_14	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_15	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_16	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_17	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_18	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_19	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_20	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_21	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_22	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_23	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_24	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_25	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_26	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_27	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
11c_Mb_28	"39_12'11""N"	"8_02'12""E"	39.20305556	8.036666667	11	c						
