SAMPLE	MEAN	QUART1	MEDIAN	QUART3	SD
01b_01	20.9819	1	6	30	31.1815
01b_02	248.822	1	35	371	440.09
01b_03	139.346	2	52	204	224.385
01b_04	10.122	1	2	14	17.8542
01b_05	161.888	2	40	252	266.727
01b_06	343.103	2	37	544	562.483
01b_07	13.4399	2	6	16	20.5141
01b_08	148.834	2	58	219	232.355
01b_09	85.8408	14	60	131	93.6188
01b_10	301.359	2	58	518	441.579
01b_11	28.5745	6	22	40	29.4701
01b_12	303.738	2	66	503	446.927
01b_13	37.598	2	24	55	44.7834
01b_14	230.882	6	116	360	309.516
01b_15	27.2742	5	22	39	27.4743
01b_16	279.983	2	60	476	407.403
01b_17	97.6226	6	61	150	119.514
01b_18	80.6904	15	55	119	89.041
01b_19	284.83	3	82	473	410.314
01b_20	211.742	4	88	351	276.395
01b_21	29.8623	2	20	44	35.8588
01b_22	122.475	6	66	184	165.004
01b_23	90.4184	15	60	136	104.048
01b_24	133.59	3	68	209	181.265
01b_25	349.836	2	119	611	469.961
01b_26	43.5448	12	31	60	47.0336
01b_27	192.173	3	83	317	252.812
01b_28	169.395	3	76	283	221.112
01b_29	590.743	1	25	842	1044.21
01b_30	127.28	3	63	208	159.964
01b_31	130.12	3	68	208	168.942
01b_32	289.271	2	84	500	400.625
01b_33	322.388	2	57	554	474.781
01b_34	48.5752	13	34	68	52.2651
01b_35	43.5858	3	27	61	53.1408
01b_36	364.334	2	56	572	569.648
01b_37	25.5512	1	16	36	33.2626
01b_38	22.1761	2	19	32	22.2535
01b_39	212.642	4	87	356	278.122
01b_40	196.983	2	66	319	280.972
01b_41	81.0609	11	55	124	89.9868
01b_42	85.6638	12	56	128	105.357
01b_43	81.5619	15	52	121	91.6257
01b_44	21.8075	1	16	31	26.4159
01b_45	271.535	2	73	416	424.628
01b_46	9.82605	1	2	14	16.0176
01b_47	1147.41	1	6	132	2493.53
01b_48	1204.94	1	5	156	2554.05
04b_01	1.94949	1	1	2	3.20523
04b_03	21.2554	1	2	36	35.6822
04b_05	3.95101	1	1	2	13.9375
04b_07	18.8118	1	2	23	36.5523
04b_11	29.5867	1	4	45	46.8522
04b_15	10.453	1	1	2	25.695
04b_16	3.80201	1	1	2	11.8838
04b_20	5.70021	1	1	2	16.4359
04b_23	1.65969	1	1	2	2.42045
04b_47	124.281	2	53	164	201.217
04b_48	9.29472	1	1	2	25.7762
04b_49	12.0253	1	1	3	28.3406
04b_50	2.86929	1	1	2	8.45145
05abc_01	209.652	6	109	302	289.907
05abc_02	94.1326	9	54	124	128.547
05abc_04	241.079	4	95	332	381.286
05abc_05	319.989	2	90	491	483.115
05abc_06	295.153	2	103	413	461.81
05abc_07	9.79851	1	1	3	31.4923
05abc_08	368.673	2	101	555	564.119
05abc_09	154.324	4	71	215	228.996
05abc_10	247.228	3	118	371	339.659
05abc_11	3.24488	1	1	2	13.8378
05abc_12	367.748	2	82	401	703.57
05abc_13	465.163	1	57	726	743.601
05abc_14	30.8282	1	6	48	44.9417
05abc_15	98.8808	5	58	135	138.145
05abc_16	119.078	2	44	168	188.713
05abc_17	99.7453	3	54	143	133.143
05abc_18	250.181	5	126	381	341.253
05abc_19	194.237	6	94	280	271.382
05abc_20	101.665	4	52	131	161.177
05abc_21	163.126	2	67	227	258.438
05abc_23	86.6475	10	54	118	104.722
05abc_24	47.2403	1	29	70	63.3394
05abc_25	154.84	5	79	225	219.513
05abc_26	1.82631	1	1	2	3.65149
05abc_27	64.8983	11	45	88	77.0265
05abc_29	194.543	4	86	275	283.849
05abc_30	234.597	4	102	349	346.631
05abc_31	375.879	2	86	572	588.346
05abc_32	129.799	12	76	186	164.295
05abc_33	116.786	4	62	164	160.447
05abc_34	243.996	5	99	359	366.357
05abc_35	90.7241	3	49	122	127.949
05abc_36	48.6344	1	29	70	65.8546
05abc_37	69.6316	3	45	97	89.0631
05abc_38	78.2768	2	43	105	111.893
05abc_39	125.465	16	74	177	157.58
05abc_40	14.1289	1	1	7	28.9821
05abc_41	420.379	2	71	532	740.386
05abc_42	25.8687	2	5	29	51.3599
05abc_43	33.9143	1	8	50	50.9335
05abc_44	74.7633	2	43	103	103.572
05abc_45	39.2189	1	27	56	51.7436
05abc_46	161.111	4	69	227	239.271
05abc_47	15.3187	1	1	7	31.2753
05abc_48	54.5581	2	36	79	73.2333
05abc_49	29.8702	1	3	47	45.5369
05abc_50	57.0823	2	36	82	77.7766
06a_01	87.108	13	55	130	99.5822
06a_02	90.0214	5	50	130	116.974
06a_03	75.2776	10	44	110	91.9238
06a_04	49.7204	3	31	71	60.6812
06a_05	45.2899	2	25	65	60.1633
06a_06	226.306	2	90	328	355.884
06a_07	74.9309	4	41	107	100.163
06a_08	95.6019	10	56	139	122.559
06a_09	62.7827	6	37	87	84.7969
06a_10	124.514	9	68	184	163.581
06a_11	61.6629	9	37	86	79.6913
06a_12	220.67	5	105	351	291.734
06a_13	155.667	9	82	241	208.092
06a_14	225.86	3	94	343	329.143
06a_15	47.1913	12	30	64	53.7228
06a_16	99.8071	3	49	140	143.851
06a_17	17.1697	1	3	26	26.1222
06a_18	53.6407	12	36	75	62.7926
06a_19	34.5534	11	25	48	35.18
06a_20	97.4256	12	59	137	130.988
06a_21	254.571	2	78	405	374.966
06a_22	197.504	4	97	302	269.73
06a_23	57.8923	3	33	82	77.3794
06a_24	97.8819	5	51	135	141.863
06a_26	111.058	11	70	164	135.807
06a_27	113.529	12	76	177	131.264
06a_28	268.311	2	79	428	393.083
06a_29	34.2292	2	21	50	43.0844
06a_30	205.125	4	108	318	272.064
06a_31	23.2653	1	16	34	28.0233
06a_33	146.127	3	75	229	189.518
06a_34	283.265	2	97	454	407.81
06a_35	78.684	12	52	113	92.4213
06a_36	134.312	12	75	194	185.957
06a_37	70.7643	9	42	100	90.8388
06a_38	39.3929	3	24	53	51.3588
06a_39	415.242	2	62	653	656.594
06a_40	47.9164	13	32	63	58.169
06a_41	215.143	3	96	332	309.022
06a_42	408.301	1	31	615	684.061
06a_43	108.347	10	68	160	132.592
06a_44	67.9501	17	47	96	75.2634
06a_45	95.8348	18	64	140	114.73
06a_46	88.1115	9	53	132	106.036
06a_47	219.06	3	101	347	306.35
06a_48	95.728	10	53	135	133.621
06a_49	67.6967	4	39	97	89.7916
06a_50	152.271	3	75	236	201.651
06c_01	254.828	1	97	341	398.843
06c_02	219.321	1	79	300	339.206
06c_03	126.665	2	103	188	143.335
