sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns
01b_01	2232	44571	19.969	21.524
01b_02	3944	1477319	374.574	473.676
01b_03	3756	671515	178.785	217.149
01b_04	1149	11117	9.675	10.162
01b_05	4222	887801	210.280	265.059
01b_06	4531	2466508	544.363	737.868
01b_07	3678	47355	12.875	15.482
01b_08	3723	691448	185.723	226.795
01b_09	3495	329770	94.355	107.506
01b_10	4247	1859721	437.891	562.244
01b_11	1551	43183	27.842	29.787
01b_12	4243	1823894	429.860	556.583
01b_13	2784	106806	38.364	44.797
01b_14	3874	1064475	274.774	340.314
01b_15	1319	34672	26.287	27.797
01b_16	4252	1690891	397.670	509.498
01b_17	3703	403851	109.060	130.868
01b_18	3442	298205	86.637	99.644
01b_19	4219	1628878	386.082	491.513
01b_20	4037	1095005	271.242	337.305
01b_21	2294	68599	29.904	34.205
01b_22	3800	523128	137.665	169.447
01b_23	3549	350125	98.655	114.266
01b_24	3942	629017	159.568	194.564
01b_25	4098	1954603	476.965	587.323
01b_26	2469	105586	42.765	46.927
01b_27	4004	1001166	250.041	307.311
01b_28	4138	873030	210.979	265.106
01b_29	4688	5299213	1130.378	1553.364
01b_30	3996	613831	153.611	188.635
01b_31	4039	613120	151.800	186.317
01b_32	4133	1651185	399.512	498.675
01b_33	4340	2030216	467.792	605.612
01b_34	2571	124073	48.259	52.556
01b_35	2759	121184	43.923	50.385
01b_36	4611	2335973	506.609	703.340
01b_37	1517	37272	24.570	27.740
01b_38	600	12548	20.913	22.096
01b_39	4005	1124819	280.854	340.708
01b_40	4305	1073683	249.404	326.867
01b_41	3509	306837	87.443	102.393
01b_42	3523	328681	93.296	107.759
01b_43	3238	277484	85.696	97.831
01b_44	1439	30636	21.290	23.841
01b_45	4376	1529030	349.413	469.272
01b_46	394	3884	9.858	11.643
01b_47	5317	27144971	5105.317	7913.182
01b_48	5362	25238904	4706.994	7261.512
04b_01	406	563	1.387	1.306
04b_03	643	12344	19.198	20.713
04b_05	821	2721	3.314	3.474
04b_07	1101	17904	16.262	17.554
04b_11	1272	32609	25.636	27.328
04b_15	1086	9568	8.810	9.553
04b_16	458	1446	3.157	3.298
04b_20	1251	5892	4.710	5.116
04b_23	923	1308	1.417	1.400
04b_47	2290	286353	125.045	143.644
04b_48	805	6167	7.661	8.575
04b_49	1346	13758	10.221	11.257
04b_50	1028	2368	2.304	2.397
05abc_01	3213	724507	225.492	261.514
05abc_02	1947	178922	91.896	100.518
05abc_04	3119	849700	272.427	317.422
05abc_05	3665	1516711	413.837	503.377
05abc_06	3467	1185528	341.946	417.260
05abc_07	515	4337	8.421	9.072
05abc_08	3668	1733256	472.534	574.935
05abc_09	2689	440623	163.861	187.174
05abc_10	3469	995764	287.046	333.201
05abc_11	408	981	2.404	2.452
05abc_12	3038	1308014	430.551	515.240
05abc_13	3924	2643004	673.548	835.007
05abc_14	1106	30058	27.177	28.831
05abc_15	2523	237960	94.316	105.074
05abc_16	3517	436786	124.193	152.989
05abc_17	2546	248810	97.726	110.412
05abc_18	3500	995121	284.320	331.534
05abc_19	3109	645694	207.685	239.717
05abc_20	2028	197852	97.560	107.702
05abc_21	3039	554320	182.402	214.792
05abc_23	2489	215071	86.409	93.423
05abc_24	1267	55909	44.127	48.601
05abc_25	3284	559456	170.358	199.958
05abc_26	712	1103	1.549	1.445
05abc_27	1680	100900	60.060	63.704
05abc_29	2991	650047	217.334	250.674
05abc_30	3306	883494	267.240	315.361
05abc_31	3627	1798935	495.984	599.704
05abc_32	2984	396359	132.828	150.383
05abc_33	2950	353098	119.694	136.833
05abc_34	3319	921012	277.497	326.967
05abc_35	2713	241077	88.860	99.961
05abc_36	1802	81545	45.252	49.566
05abc_37	2246	148664	66.191	72.514
05abc_38	2213	165352	74.718	85.179
05abc_39	2838	360420	126.998	142.773
05abc_40	923	10735	11.631	12.879
05abc_41	3523	1942431	551.357	686.275
05abc_42	3098	73907	23.856	28.645
05abc_43	1313	39234	29.881	32.452
05abc_44	2079	145538	70.004	78.710
05abc_45	1195	42489	35.556	38.364
05abc_46	2913	506105	173.740	202.068
05abc_47	805	10761	13.368	14.083
05abc_48	1612	82412	51.124	56.310
05abc_49	1166	31351	26.888	29.777
05abc_50	1676	88298	52.684	58.367
06a_01	3429	311732	90.910	107.200
06a_02	3572	338371	94.729	115.886
06a_03	3293	265503	80.626	94.959
06a_04	3209	161463	50.316	60.089
06a_05	3332	153160	45.966	56.474
06a_06	3977	1124821	282.832	357.615
06a_07	3628	283867	78.243	96.685
06a_08	3441	357171	103.799	122.914
06a_09	3093	200099	64.694	75.194
06a_10	3683	510776	138.685	168.637
06a_11	2984	183901	61.629	71.819
06a_12	3931	1039526	264.443	330.384
06a_13	3764	668960	177.726	218.147
06a_14	3982	1118607	280.916	356.431
06a_15	2421	110521	45.651	50.122
06a_16	3792	413771	109.117	134.284
06a_17	1863	30812	16.539	20.126
06a_18	2634	140457	53.325	59.953
06a_19	1861	62462	33.564	35.644
06a_20	3484	361385	103.727	122.196
06a_21	4223	1413667	334.754	439.015
06a_22	3891	909400	233.719	289.197
06a_23	3148	186889	59.368	69.328
06a_24	3500	360833	103.095	123.906
06a_26	3682	433567	117.753	140.740
06a_27	3633	458766	126.277	147.903
06a_28	4264	1507812	353.614	460.885
06a_29	3127	106441	34.039	40.936
06a_30	3870	960927	248.302	299.814
06a_31	1685	37517	22.265	23.907
06a_33	3959	672527	169.873	211.501
06a_34	4163	1539906	369.903	471.018
06a_35	3349	271173	80.971	94.218
06a_36	3745	552428	147.511	179.656
06a_37	3141	228175	72.644	84.321
06a_38	2569	99874	38.877	44.432
06a_39	4459	2665675	597.819	805.316
06a_40	2247	104846	46.660	50.807
06a_41	4012	1048622	261.371	329.776
06a_42	4653	2847873	612.051	855.734
06a_43	3598	427429	118.796	141.423
06a_44	3060	212574	69.469	78.028
06a_45	3320	332340	100.102	114.528
06a_46	3595	346323	96.335	115.177
06a_47	4054	1098461	270.957	335.546
06a_48	3490	357035	102.302	121.969
06a_49	3421	241884	70.706	83.053
06a_50	3922	690992	176.184	222.214
06c_01	3188	1082937	339.692	457.095
06c_02	3635	1004433	276.323	376.877
06c_03	1594	226523	142.110	162.606
06c_04	1819	171181	94.107	117.088
06c_05	2565	24692	9.627	11.528
06c_06	1722	8610	5.000	5.826
06c_07	1066	76488	71.752	91.310
06c_08	2071	370086	178.699	228.214
06c_09	3409	1875386	550.128	723.426
06c_10	2256	295797	131.116	172.928
06c_100	3612	2186936	605.464	753.648
06c_11	862	76383	88.611	105.949
06c_12	1041	56194	53.981	66.187
06c_13	1806	328904	182.117	219.785
06c_14	1434	2696	1.880	1.658
06c_15	213	5019	23.563	32.223
06c_16	479	24985	52.161	62.521
06c_17	1971	347922	176.521	221.323
06c_18	2151	189153	87.937	114.017
06c_19	1963	117304	59.758	75.323
06c_20	2284	178856	78.308	103.675
06c_21	571	5649	9.893	9.988
06c_22	261	1839	7.046	9.002
06c_23	528	1110	2.102	1.860
06c_24	1333	5856	4.393	4.977
06c_25	2496	225631	90.397	120.542
06c_29	1229	62866	51.152	62.267
06c_30	1302	90357	69.399	83.920
06c_31	2691	498518	185.254	249.899
06c_32	3379	40177	11.890	15.658
06c_33	1088	18099	16.635	20.142
06c_34	795	12548	15.784	18.738
06c_35	585	3279	5.605	7.174
06c_37	1348	157134	116.568	142.011
06c_38	709	16664	23.504	31.789
06c_39	1162	73669	63.398	76.975
06c_40	764	34802	45.552	55.368
06c_41	1408	6858	4.871	5.915
06c_42	775	14826	19.130	23.970
06c_43	312	1174	3.763	2.864
06c_44	612	10219	16.698	19.257
06c_45	1448	89068	61.511	80.579
06c_46	887	6921	7.803	9.463
06c_47	1386	14886	10.740	12.635
06c_48	878	2050	2.335	2.228
06c_49	1012	5437	5.373	5.838
06c_50	101	156	1.545	1.202
06c_51	3003	93810	31.239	36.989
06c_52	1419	8688	6.123	6.546
06c_53	443	29722	67.093	73.542
06c_54	1056	122741	116.232	123.773
06c_55	1558	295175	189.458	206.587
06c_56	1574	180922	114.944	127.008
06c_57	267	4151	15.547	17.381
06c_58	759	31999	42.159	45.102
06c_59	1100	40742	37.038	40.633
06c_60	390	770	1.974	1.259
06c_61	174	254	1.460	1.482
