K	Reps	Mean LnP(K)	Stdev LnP(K)	Ln'(K)	|Ln''(K)|	Delta K
1	10	-211810.9000	1.4079	NA	NA	NA
2	10	-211623.6000	2.3523	187.300000	61.850000	26.293372
3	10	-211498.1500	30.1333	125.450000	22.690000	0.752987
4	10	-211395.3900	98.1197	102.760000	107.290000	1.093460
5	10	-211399.9200	124.4872	-4.530000	1027.650000	8.255063
6	10	-212432.1000	379.8401	-1032.180000	68.080000	0.179233
7	10	-213396.2000	2185.7828	-964.100000	3249.540000	1.486671
8	10	-211110.7600	734.5079	2285.440000	1873.410000	2.550565
9	10	-210698.7300	527.2782	412.030000	6.930000	0.013143
10	10	-210279.7700	484.5109	418.960000	NA	NA
