sample_prefix	pop
01b_06	01b
01b_10	01b
01b_12	01b
01b_14	01b
01b_16	01b
01b_17	01b
01b_18	01b
01b_20	01b
01b_22	01b
01b_23	01b
01b_24	01b
01b_27	01b
01b_28	01b
01b_30	01b
01b_31	01b
01b_32	01b
01b_33	01b
01b_36	01b
01b_39	01b
01b_40	01b
01b_41	01b
01b_42	01b
01b_43	01b
01b_45	01b
01b_47	01b
05abc_01	05abc
05abc_04	05abc
05abc_05	05abc
05abc_06	05abc
05abc_08	05abc
05abc_09	05abc
05abc_10	05abc
05abc_12	05abc
05abc_13	05abc
05abc_16	05abc
05abc_17	05abc
05abc_18	05abc
05abc_19	05abc
05abc_21	05abc
05abc_25	05abc
05abc_29	05abc
05abc_30	05abc
05abc_31	05abc
05abc_32	05abc
05abc_33	05abc
05abc_34	05abc
05abc_39	05abc
05abc_41	05abc
05abc_46	05abc
06a_01	06a
06a_02	06a
06a_08	06a
06a_10	06a
06a_12	06a
06a_14	06a
06a_20	06a
06a_21	06a
06a_22	06a
06a_24	06a
06a_26	06a
06a_27	06a
06a_28	06a
06a_30	06a
06a_34	06a
06a_35	06a
06a_36	06a
06a_37	06a
06a_41	06a
06a_43	06a
06a_45	06a
06a_46	06a
06a_48	06a
06a_49	06a
06a_50	06a
07a_04	07a
07a_08	07a
07a_09	07a
07a_13	07a
07a_14	07a
07a_16	07a
07a_19	07a
07a_21	07a
07a_22	07a
07a_23	07a
07a_25	07a
07a_26	07a
07a_27	07a
07a_28	07a
07a_33	07a
07a_34	07a
07a_35	07a
07a_36	07a
07a_38	07a
07a_41	07a
07a_43	07a
07a_44	07a
07a_45	07a
07a_46	07a
07a_49	07a
10a_01	10a
10a_02	10a
10a_03	10a
10a_04	10a
10a_06	10a
10a_07	10a
10a_08	10a
10a_11	10a
10a_12	10a
10a_13	10a
10a_14	10a
10a_20	10a
10a_21	10a
10a_22	10a
10a_23	10a
10a_24	10a
10a_28	10a
10a_31	10a
10a_33	10a
10a_34	10a
10a_36	10a
10a_37	10a
10a_40	10a
10a_41	10a
10a_48	10a
10bc_02	10bc
10bc_03	10bc
10bc_05	10bc
10bc_06	10bc
10bc_08	10bc
10bc_10	10bc
10bc_14	10bc
10bc_16	10bc
10bc_19	10bc
10bc_22	10bc
10bc_24	10bc
10bc_25	10bc
10bc_28	10bc
10bc_29	10bc
10bc_30	10bc
10bc_32	10bc
10bc_37	10bc
10bc_40	10bc
10bc_41	10bc
10bc_42	10bc
10bc_45	10bc
10bc_47	10bc
10bc_49	10bc
10bc_50	10bc
10bc_57	10bc
11ab_03	11ab
11ab_04	11ab
11ab_05	11ab
11ab_06	11ab
11ab_07	11ab
11ab_10	11ab
11ab_12	11ab
11ab_16	11ab
11ab_17	11ab
11ab_19	11ab
11ab_20	11ab
11ab_21	11ab
11ab_26	11ab
11ab_27	11ab
11ab_28	11ab
11ab_41	11ab
11ab_48	11ab
11ab_49	11ab
12m_01	12m
12m_02	12m
12m_04	12m
12m_05	12m
12m_07	12m
12m_09	12m
12m_13	12m
12m_17	12m
12m_18	12m
12m_19	12m
12m_21	12m
12m_22	12m
12m_25	12m
12m_26	12m
12m_27	12m
12m_29	12m
12m_31	12m
12m_32	12m
12m_33	12m
12m_36	12m
12m_39	12m
12m_42	12m
12m_43	12m
12m_47	12m
14a_04	14a
14a_06	14a
14a_08	14a
14a_10	14a
14a_13	14a
14a_16	14a
14a_18	14a
14a_19	14a
14a_22	14a
14a_23	14a
14a_24	14a
14a_25	14a
14a_26	14a
14a_27	14a
14a_28	14a
14a_30	14a
14a_31	14a
14a_37	14a
14a_40	14a
14a_44	14a
14a_45	14a
14a_47	14a
14a_48	14a
14a_49	14a
14a_50	14a
17a_03	17a
17a_04	17a
17a_06	17a
