sample_prefix	pop	total	secondary	supplementary	duplicates	mapped	mapped.perc	paired	read1	read2	properly_paired	properly_paired.perc	both_mapped	singletons	singletons.perc	different_chr	different_chr_mapQ>=5
01b_01	01b	110765	0	3231	0	109183	98.57	107534	53767	53767	100182	93.16	105328	624	0.58	4496	3705
01b_02	01b	3644971	0	93627	0	3607519	98.97	3551344	1775672	1775672	3409068	95.99	3504878	9014	0.25	75820	50009
01b_03	01b	1624728	0	50446	0	1610142	99.10	1574282	787141	787141	1498786	95.20	1554904	4792	0.30	45564	35392
01b_04	01b	28956	0	1150	0	28361	97.95	27806	13903	13903	24962	89.77	27022	189	0.68	1966	1721
01b_05	01b	2186608	0	66974	0	2163356	98.94	2119634	1059817	1059817	2010600	94.86	2089286	7096	0.33	64664	48893
01b_06	01b	5517571	0	133423	0	5497835	99.64	5384148	2692074	2692074	5192560	96.44	5359274	5138	0.10	150152	127958
01b_07	01b	105876	0	2130	0	105201	99.36	103746	51873	51873	98870	95.30	102724	347	0.33	3402	2951
01b_08	01b	1687801	0	47187	0	1673739	99.17	1640614	820307	820307	1567526	95.55	1621914	4638	0.28	44012	32618
01b_09	01b	731712	0	16580	0	728355	99.54	715132	357566	357566	685550	95.86	711074	701	0.10	23158	20797
01b_10	01b	4089624	0	79002	0	4076468	99.68	4010622	2005311	2005311	3898360	97.20	3995090	2376	0.06	88822	73681
01b_11	01b	96317	0	2641	0	95489	99.14	93676	46838	46838	88550	94.53	92740	108	0.12	3624	3250
01b_12	01b	4049689	0	81143	0	4032299	99.57	3968546	1984273	1984273	3849926	97.01	3947098	4058	0.10	90120	75852
01b_13	01b	240499	0	7741	0	239475	99.57	232758	116379	116379	220578	94.77	231218	516	0.22	10024	8660
01b_14	01b	2320061	0	32417	0	2312707	99.68	2287644	1143822	1143822	2240146	97.92	2278888	1402	0.06	35410	27466
01b_15	01b	77903	0	2171	0	77227	99.13	75732	37866	37866	72610	95.88	74984	72	0.10	2146	1871
01b_16	01b	3779469	0	80319	0	3765134	99.62	3699150	1849575	1849575	3587620	96.98	3681168	3647	0.10	86304	72805
01b_17	01b	888862	0	18440	0	884629	99.52	870422	435211	435211	838912	96.38	865200	989	0.11	23776	20541
01b_18	01b	663919	0	17545	0	661585	99.65	646374	323187	323187	621900	96.21	643324	716	0.11	19488	17313
01b_19	01b	3594359	0	72577	0	3583724	99.70	3521782	1760891	1760891	3414164	96.94	3508936	2211	0.06	82938	68932
01b_20	01b	2439351	0	54051	0	2428338	99.55	2385300	1192650	1192650	2299146	96.39	2371840	2447	0.10	64970	56211
01b_21	01b	154722	0	3968	0	153510	99.22	150754	75377	75377	143090	94.92	149230	312	0.21	5490	4793
01b_22	01b	1162706	0	21742	0	1159645	99.74	1140964	570482	570482	1110678	97.35	1137036	867	0.08	24058	20193
01b_23	01b	776174	0	19132	0	773499	99.66	757042	378521	378521	728578	96.24	753596	771	0.10	23482	20233
01b_24	01b	1414603	0	32465	0	1410153	99.69	1382138	691069	691069	1337956	96.80	1375956	1732	0.13	35400	30145
