"01b"	"05abc"	"06a"	"07a"	"10a"	"10bc"	"11ab"	"12m"	"14a"	"18b"	"18c"	"19b"	"19cd"	"23p"	"25c"	"26b"	"27a"	"27b"
"01b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"05abc"	0.64246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"06a"	0.84765	0.03235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"07a"	0.97943	0.33155	0.65969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10a"	0.51769	0.80418	0.36634	0.33914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10bc"	0.65655	0.76003	0.19112	0.2704	0.81936	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11ab"	0.37884	0.67541	0.33362	0.29846	0.2832	0.71284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12m"	0.22195	0.4374	0.14232	0.16106	0.81142	0.4845	0.39976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14a"	0.7241	0.57771	0.67584	0.73206	0.819	0.99795	0.69789	0.22963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18b"	0.06238	0.31216	0.05879	0.29768	0.06018	0.04453	0.09771	0.25147	0.53491	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18c"	0.80815	0.48174	0.63706	0.71056	0.80294	0.77639	0.37149	0.4486	0.98886	0.11725	NA	NA	NA	NA	NA	NA	NA	NA
"19b"	0.14429	0.75053	0.43538	0.5259	0.38622	0.23285	0.47544	0.00943	0.52313	0.12266	0.62752	NA	NA	NA	NA	NA	NA	NA
"19cd"	0.53507	0.26699	0.53124	0.39225	0.40999	0.40845	0.90798	0.32834	0.48572	0.00824	0.47353	0.20373	NA	NA	NA	NA	NA	NA
"23p"	0.79408	0.83205	0.13128	0.33254	0.4956	0.41221	0.93264	0.0543	0.8446	0.01326	0.3544	0.66829	0.16773	NA	NA	NA	NA	NA
"25c"	0.84982	0.79667	0.7067	0.2948	0.95083	0.87676	0.93628	0.27961	0.80985	0.02715	0.53594	0.41512	0.68881	0.98852	NA	NA	NA	NA
"26b"	0.53178	0.65981	0.17359	0.12686	0.41659	0.36858	0.25466	0.07756	0.64473	0.00764	0.64038	0.03318	0.69077	0.20864	0.83566	NA	NA	NA
"27a"	0.48181	0.23779	0.41535	0.21364	0.67485	0.41074	0.12048	0.02381	0.47334	0.06158	0.41508	0.405	0.26741	0.74141	0.91113	0.3022	NA	NA
"27b"	0.27372	0.74946	0.11024	0.50304	0.17669	0.06393	0.78599	0.03429	0.46179	0.01432	0.82427	0.58774	0.37084	0.70875	0.68875	0.579	0.31333	NA
