"01b"	"05abc"	"06a"	"07a"	"10a"	"10bc"	"11ab"	"12m"	"14a"	"18b"	"18c"	"19b"	"19cd"	"23p"	"25c"	"26b"	"27a"	"27b"
"01b"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"05abc"	-0.000546445581772476	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"06a"	-0.00177965659564598	0.00386821375071768	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"07a"	-0.00328135114261559	0.000821890645255037	-0.000695977708351179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10a"	-3.62003100141134e-05	-0.00134336823645605	0.000741167128686218	0.000729197524919325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10bc"	-0.000672175238385603	-0.00115544901804656	0.0018067390881303	0.00118138422782642	-0.00155170799862325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11ab"	0.000658889740809669	-0.000818027673941479	0.000945169240450819	0.00112876880606438	0.00114991273754524	-0.00111235517572642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12m"	0.00139931214471416	0.000288266618026109	0.00210394131780265	0.00189485491757674	-0.001355711399263	8.73027561834537e-05	0.000569190507903739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14a"	-0.000960084586707762	-0.000290418883102588	-0.000736156627284988	-0.000976365561710896	-0.00151516777455838	-0.00437788483282515	-0.000898606508973519	0.00123814073322206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18b"	0.00278215835405169	0.000934341587987792	0.00276946713948799	0.000972946368883409	0.00301912495096054	0.00378983034219197	0.00260888294522641	0.00117864164981137	-0.000115062836756292	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18c"	-0.0014187679551586	0.000139644564476709	-0.000527363987329491	-0.000876574183793104	-0.00131161650217816	-0.00122281317295586	0.000768623843297588	0.000265152211900394	-0.00349501742424914	0.00235638547430733	NA	NA	NA	NA	NA	NA	NA	NA
"19b"	0.00196289631470168	-0.00116508644416369	0.000279027119979601	-7.3063447145211e-05	0.000503199769581771	0.00127373292117654	0.000141212946057564	0.00437536790495873	-3.77288160207522e-05	0.00215197422730018	-0.000515711509638701	NA	NA	NA	NA	NA	NA	NA
"19cd"	-0.000120233674242717	0.00119524423917006	-5.84593226069285e-05	0.000583594905833667	0.000480491964147048	0.00043825264290135	-0.00246748402138474	0.00079620167900436	0.000103968383544867	0.0051427873985947	0.000139953336294455	0.00173290502587656	NA	NA	NA	NA	NA	NA
"23p"	-0.00136931989394776	-0.00155115433947968	0.00219125760140324	0.000753182140398937	5.51709571854572e-05	0.000389906147392961	-0.00258411450409769	0.00294014317022423	-0.00145966828287229	0.00398108189975575	0.000641642254407692	-0.000675824874387366	0.00165694172097547	NA	NA	NA	NA	NA
"25c"	-0.00166706372134276	-0.0012760774072886	-0.000971703644972874	0.000948988024997108	-0.00232092881182478	-0.00204487288828662	-0.00267028888737294	0.00120369068335838	-0.00146787586605944	0.00398456512690348	-0.000116358612779531	0.000421452939123737	-0.000858239699274355	-0.00327229855181582	NA	NA	NA	NA
"26b"	-9.41115005160942e-05	-0.000675501970708554	0.00198126568252497	0.00225513206352283	0.000410125547519073	0.000704023147064219	0.00141761408307059	0.00265060204081377	-0.000645895620340746	0.00432285338769761	-0.000542161355561356	0.0043085122886957	-0.000803309078851389	0.00199200371116491	-0.00180122082721585	NA	NA	NA
"27a"	0.00014121348169744	0.0015415534947807	0.000528843789372874	0.00158906617665651	-0.000731013935753688	0.00044003060599633	0.00233801674617011	0.00384482006149029	0.000158068195546832	0.00293392906587514	0.000377663074761678	0.000410719173061146	0.00139963379678535	-0.00108582334730735	-0.00217920184747029	0.00086046608987064	NA	NA
"27b"	0.00135683543521811	-0.001399514999433	0.0027698107874541	5.08550701921032e-05	0.00198852929083636	0.00333469562095377	-0.00162281145295384	0.00384748752123039	0.000210161256253951	0.00467797342856513	-0.0017277191232607	-0.000361889241494612	0.000663281964636146	-0.000988454285493307	-0.000905298577469869	-0.000339926002394076	0.000969538735562263	NA
