POP SUPER_8:20231385 SUPER_8:21439227 SUPER_8:21764708 SUPER_9:154553 SUPER_20:2648926 SUPER_2:41814511 SUPER_8:21439221 SUPER_9:8799729 SUPER_9:13510067
01b 0.194444444444444 0 0 0 0.210526315789474 0.2 0 0 0.1
05abc 0.222222222222222 0 0 0 0.325 0 0 0 0.05
06a 0.205882352941176 0 0.025 0.0526315789473684 0.184210526315789 0.15 0 0 0.025
07a 0.194444444444444 0 0 0 0.263157894736842 0.075 0 0 0.0555555555555556
10a 0.0526315789473684 0 0 0 0.475 0 0 0 0
10bc 0.0588235294117647 0 0 0 0.289473684210526 0 0 0.105263157894737 0
11ab 0 0 0 0 0.3 0 0 0.0714285714285714 0
12m 0.105263157894737 0 0 0 0.368421052631579 0.0526315789473684 0 0.0526315789473684 0.025
14a 0.1875 0 0 0.025 0.35 0 0.0526315789473684 0.0263157894736842 0.0526315789473684
18b 0.0294117647058824 0 0 0 0.325 0 0 0 0.131578947368421
18c 0 0 0 0 0.277777777777778 0.0526315789473684 0 0 0.025
19b 0.125 0 0 0 0.305555555555556 0 0.05 0 0.05
19cd 0.25 0 0 0 0.325 0 0.105263157894737 0.105263157894737 0.0263157894736842
23p 0.205882352941176 0.0588235294117647 0.05 0.1 0.578947368421053 0 0 0 0.125
25c 0.0789473684210526 0.111111111111111 0.0263157894736842 0.1 0.526315789473684 0 0 0 0.225
26b 0.25 0.105263157894737 0.075 0.15 0.425 0 0 0 0.225
27a 0.235294117647059 0.105263157894737 0.125 0.2 0.578947368421053 0.0833333333333333 0 0 0.2
27b 0.25 0.0769230769230769 0 0 0.678571428571429 0 0 0 0.2
